球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
琼-巴里,98-99,国王,43,0,17.1,0.428,1.4,3.2,0.304,0.6,1.8,0.845,1.7,2.0,2.2,0.6,1.7,2.6,1.2,0.1,1.1,1.4,5.0,23,20
罗伯特-霍里,98-99,湖人,38,5,19.6,0.459,1.8,3.8,0.444,0.5,1.2,0.739,0.9,1.2,4.0,1.5,2.5,1.5,0.9,1.0,1.3,2.7,4.9,24,14
A.C.-格林,98-99,独行侠,50,35,18.5,0.422,2.2,5.1,0.0,0.0,0.2,0.577,0.6,1.0,4.6,1.6,2.9,0.5,0.6,0.2,0.4,1.4,4.9,19,31
迈克尔-库里,98-99,雄鹿,50,4,22.9,0.437,1.8,4.1,0.067,0.0,0.3,0.797,1.3,1.6,2.2,0.4,1.8,1.6,0.8,0.1,0.7,2.7,4.9,28,22
艾德-格雷,98-99,老鹰,30,3,11.2,0.291,1.8,6.1,0.286,0.4,1.4,0.757,0.9,1.2,0.9,0.2,0.7,0.4,0.4,0.0,1.0,1.0,4.9,17,13
格雷格-迈纳,98-99,凯尔特,44,7,17.4,0.417,1.9,4.6,0.286,0.2,0.6,0.75,0.8,1.1,2.7,0.7,2.0,1.1,0.5,0.1,0.9,1.6,4.9,19,25
阿隆-麦基,98-99,76人,50,4,19.2,0.401,1.9,4.7,0.194,0.1,0.6,0.71,0.9,1.2,2.8,0.5,2.3,2.0,1.3,0.1,1.1,1.8,4.8,28,22
克里斯-惠特尼,98-99,奇才,39,1,11.3,0.41,1.6,4.0,0.337,0.8,2.4,0.871,0.7,0.8,1.2,0.2,1.0,1.8,0.5,0.1,0.9,1.3,4.8,14,25
迈克尔-史密斯,98-99,灰熊,48,10,22.9,0.535,1.6,3.0,0.0,0.0,0.0,0.594,1.6,2.7,7.3,2.8,4.5,1.0,1.0,0.4,1.3,2.2,4.8,7,41
罗肖恩-迈克里奥德,98-99,老鹰,34,0,10.2,0.38,1.8,4.8,0.1,0.0,0.3,0.822,1.1,1.3,1.5,0.4,1.1,0.4,0.1,0.0,0.7,0.7,4.8,21,13
